,Sample,208Pb,,23Na,25Mg,27Al,28Si,31P,PO4,34S,35Cl,39K,43Ca,47Ti,51V,52Cr,54Fe,55Mn,59Co,60Ni,65Cu,66Zn,75As,78Se,88Sr,95Mo,107Ag,111Cd,112Sn,137Ba,238U,bottle_number,date_collected
31,55,0.5,,4770,7824,10.32,1409.0,1210.0,3.7089215369712627,22.31,9.881,1075.0,26510.0,2.082,0.5,0.5,29.67,1.502,0.5,0.5,3.39,4.333,0.5,0.5,84.02,0.5,0.5,0.5,0.5,12.06,0.5,bottle3,2016-03-01
32,57,0.5,,4667,7853,11.57,1308.0,1315.0,4.030770100096869,21.54,9.604,990.3,27710.0,2.484,0.5,0.5,8.047,0.5,0.5,0.5,2.47,1.345,0.5,0.5,91.27,0.5,0.5,0.5,0.5,13.02,0.5,bottle3,2016-03-01
33,59,0.5,,4611,7797,28.92,1318.0,1288.0,3.948009041007427,20.5,9.438,975.0,27270.0,2.806,0.5,0.5,26.0,1.644,0.5,0.5,4.636,5.211,0.5,0.5,90.26,0.5,0.5,0.5,0.5,13.01,0.5,bottle3,2016-03-01
34,63,0.5,,4772,7855,12.35,1407.0,1260.0,3.862182757507265,22.29,9.968,1080.0,26640.0,1.991,0.5,0.5,18.71,0.5,0.5,0.5,71.81,0.5,0.5,0.5,84.33,0.5,0.5,0.5,0.5,12.43,0.5,bottle3,2016-03-01
35,65,69.0,,4764,7896,275.2,1399.0,1474.0,4.518140781401357,21.79,9.739,1041.0,25490.0,3.29,0.5,0.5,1572.0,28.49,0.5,10.47,79.59,419.7,0.5,0.5,83.93,0.5,0.5,1.428,1.503,14.97,0.5,bottle3,2016-03-01
36,66,0.5,,4756,7822,29.81,1372.0,1359.0,4.165639974168551,22.08,9.717,1075.0,25810.0,2.422,0.5,0.5,0.5,0.5,0.5,0.5,11.91,13.91,0.5,0.5,83.96,0.5,0.5,0.5,0.5,14.58,0.5,bottle3,2016-03-01
37,67,2.963,,4420,7894,4.622,1427.0,827.2,2.535553632547627,20.62,9.293,982.5,26390.0,1.111,0.5,0.5,203.0,13.66,0.5,0.5,4.356,4.825,0.5,0.5,86.84,0.5,0.5,0.5,0.5,10.39,0.5,bottle3,2016-03-01
38,68,0.5,,4390,7784,21.72,1366.0,1424.0,4.3648795608653534,21.6,9.394,992.9,25940.0,2.58,0.5,0.5,0.5,0.5,0.5,0.5,1.638,0.5,0.5,0.5,87.78,0.5,0.5,0.5,0.5,13.88,0.5,bottle3,2016-03-01
39,69,2.454,,4485,9235,26.57,1415.0,1112.0,3.4085295447206976,22.29,9.524,1003.0,26560.0,1.844,0.5,0.5,285.0,8.789,1.123,1.739,135.1,66.04,0.5,0.5,89.74,0.5,0.5,0.5,0.5,14.05,0.5,bottle3,2016-03-01
40,71,0.5,,4651,8410,11.24,1474.0,1086.0,3.3288337100419767,22.99,10.8,1020.0,26940.0,1.897,0.5,0.5,25.46,1.098,0.5,1.212,245.5,27.51,0.5,0.5,87.62,0.5,0.5,0.5,0.5,11.95,0.5,bottle3,2016-03-01
41,72,0.5,,4890,7928,7.095,1438.0,741.3,2.2722508556667744,21.53,10.15,1085.0,27000.0,1.363,0.5,0.5,296.0,13.33,0.5,0.5,11.09,1.883,0.5,0.5,84.6,0.5,0.5,0.5,0.5,9.028,0.5,bottle3,2016-03-01
42,75,2.059,,4744,7976,7.251,1332.0,1181.0,3.6200300290603815,22.61,9.88,1000.0,28200.0,2.415,0.5,0.5,40.45,2.519,0.5,0.5,20.71,11.59,0.5,0.5,92.31,0.5,0.5,0.5,0.5,11.89,0.5,bottle3,2016-03-01
43,76,1.453,,4395,7801,19.54,1355.0,1185.0,3.6322909267032615,21.79,9.508,987.2,26240.0,2.049,0.5,0.5,34.58,1.871,0.5,0.5,5.808,3.13,0.5,0.5,87.54,0.5,0.5,0.5,0.5,12.22,0.5,bottle3,2016-03-01
44,78,0.5,,4459,7540,15.01,1395.0,1218.0,3.733443332257023,22.35,9.756,1020.0,26540.0,2.166,0.5,0.5,21.5,0.5,0.5,0.5,18.08,3.188,0.5,0.5,87.6,0.5,0.5,0.5,0.5,12.93,0.5,bottle3,2016-03-01
45,79,0.5,,4671,7875,9.345,5667.0,1124.0,3.4453122376493384,22.11,9.566,1660.0,29990.0,2.562,1.202,0.5,0.5,0.5,0.5,0.5,5.378,2.09,0.5,0.5,58.17,0.5,0.5,0.5,0.5,1.953,0.5,bottle3,2016-03-01
46,80,0.5,,4770,7884,8.785,1381.0,1181.0,3.6200300290603815,22.02,10.24,1011.0,28570.0,2.342,0.5,0.5,32.98,1.14,0.5,0.5,6.142,3.127,0.5,0.5,91.65,0.5,0.5,0.5,0.5,12.3,0.5,bottle3,2016-03-01
47,82,11.72,,4593,7774,14.78,1332.0,1244.0,3.813139166935745,20.51,9.481,972.2,27450.0,2.325,0.5,0.5,76.95,4.846,0.5,0.5,13.69,4.944,0.5,0.5,90.13,0.5,0.5,0.5,0.5,12.48,0.5,bottle3,2016-03-01
48,83,4.909,,4529,7633,21.59,1424.0,1127.0,3.4545079108814987,23.09,10.17,1023.0,26210.0,1.993,0.5,0.5,116.0,3.739,0.5,1.181,22.56,26.71,0.5,0.5,87.01,0.5,0.5,0.5,0.5,11.51,0.5,bottle3,2016-03-01
49,84,12.43,,4482,7634,63.53,1428.0,1224.0,3.7518346787213437,22.75,9.977,1064.0,25910.0,2.207,0.5,0.5,154.2,9.773,0.5,1.266,37.18,9.369,0.5,0.5,87.36,0.5,0.5,0.5,0.5,13.02,0.5,bottle3,2016-03-01
50,85,0.5,,4394,7854,16.99,1355.0,1209.0,3.705856312560543,21.67,9.343,985.2,26220.0,1.824,0.5,0.5,12.03,1.017,0.5,0.5,1.312,46.68,0.5,0.5,86.91,0.5,0.5,0.5,0.5,12.77,0.5,bottle3,2016-03-01
51,88,7.494,,4600,7698,22.58,1314.0,1224.0,3.7518346787213437,21.07,9.527,976.5,27640.0,2.549,0.5,0.5,560.3,2.941,0.5,1.962,281.8,446.9,0.5,0.5,90.88,0.5,0.5,3.874,3.912,12.85,0.5,bottle3,2016-03-01
